1. November 2015	Pino gassi			
2. November 2015	Pino gassi, Gindelalm			
3. November 2015	Pino gassi, Tauchen			
4. November 2015	Pino gassi			
5. November 2015	Pino gassi, Rosenheim einkaufen		Die Menschen, die es nicht verdienen	
6. November 2015	Pino gassi, McTrek Rosenheim einkaufen		Die Menschen, die es nicht verdienen	
7. November 2015	Pino gassi, Fliesen kaufen		Die Menschen, die es nicht verdienen	
8. November 2015	Pino gassi, Geitau		Die Menschen, die es nicht verdienen	
9. November 2015	Pino gassi		Die Menschen, die es nicht verdienen	
10. November 2015	Maria Stundenhotel, Java programmieren		Die Menschen, die es nicht verdienen	
11. November 2015	Maria Stundenhotel, Java programmieren		Die Menschen, die es nicht verdienen	
12. November 2015	Java programmieren		Die Menschen, die es nicht verdienen	
13. November 2015	Pino gassi, Java programmieren, Sauna Bad Wiessee		Die Menschen, die es nicht verdienen	
14. November 2015	Pino gassi, Therme Bad Aibling		Die Menschen, die es nicht verdienen	
15. November 2015	Pino gassi		Die Menschen, die es nicht verdienen	
16. November 2015	Pino gassi		Die Menschen, die es nicht verdienen	
17. November 2015	Maria, Java programmieren		Die Menschen, die es nicht verdienen	
18. November 2015	Maria, Java programmieren		Die Menschen, die es nicht verdienen	
19. November 2015	Java programmieren, JobOSR		Moerderisches Verlangen	
20. November 2015	Pino gassi, Java programmieren, JobOSR		Moerderisches Verlangen	
21. November 2015	Pino gassi, Rosenheim einkaufen		Moerderisches Verlangen	
22. November 2015	Pino gassi, Schliersee		Moerderisches Verlangen	
23. November 2015	Pino gassi		Moerderisches Verlangen	
24. November 2015	Pino gassi, Sabine Geburtstag		Moerderisches Verlangen				
25. November 2015	Maria, JobOSR, Julia		Moerderisches Verlangen	
26. November 2015	Maria		Moerderisches Verlangen	
27. November 2015	Pino gassi		Toedliche Gier	
28. November 2015	Pino gassi, Therme Bad Aibling		Toedliche Gier	
29. November 2015	Pino gassi		Toedliche Gier	
30. November 2015	Pino gassi		Toedliche Gier	
1. Dezember 2015			Toedliche Gier	
2. Dezember 2015	Maria		Auftrag Mord	
3. Dezember 2015	Angi Bernried		Auftrag Mord	
4. Dezember 2015	Pino gassi		Auftrag Mord	
5. Dezember 2015	Pino gassi		Auftrag Mord	
6. Dezember 2015	Pino gassi, Weihnachtsmarkt		Auftrag Mord	
7. Dezember 2015	Pino gassi, JobOSR		Auftrag Mord	
8. Dezember 2015	Maria, JobOSR		Auftrag Mord, Ruhe in Frieden	
9. Dezember 2015	JobOSR		Ruhe in Frieden	
10. Dezember 2015	Maria, JobOSR		Ruhe in Frieden	
11. Dezember 2015	Pino gassi, JobOSR, Sauna Bad Wiessee		Ruhe in Frieden	
12. Dezember 2015	Therme Bad Aibling		Ruhe in Frieden	
13. Dezember 2015	Pino gassi	Boxen	Ruhe in Frieden	
14. Dezember 2015		Boxen	Ruhe in Frieden	
15. Dezember 2015	Notebook neu installiert		Ruhe in Frieden	
16. Dezember 2015	Git Training, Maria		Ruhe in Frieden	
17. Dezember 2015	Maria		Ruhe in Frieden	
18. Dezember 2015	Pino gassi	Boxen	Asphalt	
19. Dezember 2015	Pino gassi	Boxen	Asphalt	
20. Dezember 2015	Pino gassi Weissachauen		Asphalt	
21. Dezember 2015	Pino gassi		Asphalt	
