1.11.2015;Pino gassi;;;
2.11.2015;Pino gassi, Gindelalm;;;
3.11.2015;Pino gassi, Tauchen;;;
4.11.2015;Pino gassi;;;
5.11.2015;Pino gassi, Rosenheim einkaufen;;Die Menschen, die es nicht verdienen;
6.11.2015;Pino gassi, McTrek Rosenheim einkaufen;;Die Menschen, die es nicht verdienen;
7.11.2015;Pino gassi, Fliesen kaufen;;Die Menschen, die es nicht verdienen;
8.11.2015;Pino gassi, Geitau;;Die Menschen, die es nicht verdienen;
9.11.2015;Pino gassi;;Die Menschen, die es nicht verdienen;
10.11.2015;Maria Stundenhotel, Java programmieren;;Die Menschen, die es nicht verdienen;
11.11.2015;Maria Stundenhotel, Java programmieren;;Die Menschen, die es nicht verdienen;
12.11.2015;Java programmieren;;Die Menschen, die es nicht verdienen;
13.11.2015;Pino gassi, Java programmieren, Sauna Bad Wiessee;;Die Menschen, die es nicht verdienen;
14.11.2015;Pino gassi, Therme Bad Aibling;;Die Menschen, die es nicht verdienen;
15.11.2015;Pino gassi;;Die Menschen, die es nicht verdienen;
16.11.2015;Pino gassi;;Die Menschen, die es nicht verdienen;
17.11.2015;Maria, Java programmieren;;Die Menschen, die es nicht verdienen;
18.11.2015;Maria, Java programmieren;;Die Menschen, die es nicht verdienen;
19.11.2015;Java programmieren, JobOSR;;Moerderisches Verlangen;
20.11.2015;Pino gassi, Java programmieren, JobOSR;;Moerderisches Verlangen;
21.11.2015;Pino gassi, Rosenheim einkaufen;;Moerderisches Verlangen;
22.11.2015;Pino gassi, Schliersee;;Moerderisches Verlangen;
23.11.2015;Pino gassi;;Moerderisches Verlangen;
24.11.2015;Pino gassi, Sabine Geburtstag;;Moerderisches Verlangen;;;;
25.11.2015;Maria, JobOSR, Julia;;Moerderisches Verlangen;
26.11.2015;Maria;;Moerderisches Verlangen;
27.11.2015;Pino gassi;;Toedliche Gier;
28.11.2015;Pino gassi, Therme Bad Aibling;;Toedliche Gier;
29.11.2015;Pino gassi;;Toedliche Gier;
30.11.2015;Pino gassi;;Toedliche Gier;
1.12.2015;;;Toedliche Gier;
2.12.2015;Maria;;Auftrag Mord;
3.12.2015;Angi Bernried;;Auftrag Mord;
4.12.2015;Pino gassi;;Auftrag Mord;
5.12.2015;Pino gassi;;Auftrag Mord;
6.12.2015;Pino gassi, Weihnachtsmarkt;;Auftrag Mord;
7.12.2015;Pino gassi, JobOSR;;Auftrag Mord;
8.12.2015;Maria, JobOSR;;Auftrag Mord, Ruhe in Frieden;
9.12.2015;JobOSR;;Ruhe in Frieden;
10.12.2015;Maria, JobOSR;;Ruhe in Frieden;
11.12.2015;Pino gassi, JobOSR, Sauna Bad Wiessee;;Ruhe in Frieden;
12.12.2015;Therme Bad Aibling;;Ruhe in Frieden;
13.12.2015;Pino gassi;Boxen;Ruhe in Frieden;
14.12.2015;;Boxen;Ruhe in Frieden;
15.12.2015;Notebook neu installiert;;Ruhe in Frieden;
16.12.2015;Git Training, Maria;;Ruhe in Frieden;
17.12.2015;Maria;;Ruhe in Frieden;
18.12.2015;Pino gassi;Boxen;Asphalt;
19.12.2015;Pino gassi;Boxen;Asphalt;
20.12.2015;Pino gassi Weissachauen;;Asphalt;
21.12.2015;Pino gassi;;Asphalt;
22.12.2015;Maria;Boxen;Asphalt;
23.12.2015;Maria;;Asphalt;
24.12.2015;Pino gassi, Mama telefoniert;;Asphalt;
25.12.2015;Pino gassi;Boxen;Asphalt;
26.12.2015;Pino gassi, Therme Bad Aibling;;Asphalt;
27.12.2015;Pino gassi;;Asphalt;
28.12.2015;Pino gassi, Gambach gefahren;;Schlaglicht;
29.12.2015;Pino gassi, Mama Geburtstag, TS Gina;;;
30.12.2015;Pino Gassi, Hausham gefahren;;Schlaglicht;
31.12.2015;Pino gassi;;;
1.01.2016;Pino gassi;Boxen;Schlaglicht;
2.01.2016;Pino gassi;;Schlaglicht;
3.01.2016;Pino gassi, spazieren Schliersee;;Schlaglicht;
4.01.2016;Pino gassi;Boxen;Schlaglicht;
5.01.2016;Pino gassi, TS Jessia Silver abspritzen;;Schlaglicht;
6.01.2016;Pino gassi, Holzkirchen, Land Cruiser angeschaut;Boxen;Schlaglicht;
7.01.2016;Maria;;Schlaglicht;
8.01.2016;Pino gassi;Boxen;Schlaglicht;
9.01.2016;Pino gassi;;Schlaglicht;
10.01.2016;Pino gassi;Boxen;Schlaglicht;
11.01.2016;Pino gassi, Sparkasse wg Darlehen;Boxen;Schlaglicht;
12.01.2016;Maria;;Die Minnesota Verschwoerung;
13.01.2016;Maria, Termin Tättowieren;;Die Minnesota Verschwoerung;
14.01.2016;JobOSR, Angie Bernried;;Die Minnesota Verschwoerung;
15.01.2016;Pino gassi;Boxen;Die Minnesota Verschwoerung;
16.01.2016;Pino gassi;Boxen;Die Minnesota Verschwoerung;
17.01.2016;Pino gassi;Boxen;Die Minnesota Verschwoerung;
18.01.2016;Pino gassi, Verso Inspektion;;Die Minnesota Verschwoerung;
19.01.2016;Maria;;Die Minnesota Verschwoerung;
20.01.2016;JobOSR;;Die Minnesota Verschwoerung;
21.01.2016;JobOSR;;Die Minnesota Verschwoerung;
22.01.2016;Pino gassi, Seedrache Taettowieren;;Die Minnesota Verschwoerung;
23.01.2016;Pino gassi, Rosenheim McTrek;;Die Minnesota Verschwoerung;
24.01.2016;Pino gassi;;Die Minnesota Verschwoerung;
25.01.2016;Pino gassi;;Die Minnesota Verschwoerung;
26.01.2016;JobOSR, MBO review;;Mörderisches Stillwater;
27.01.2016;JobOSR, Trans Izabella;;Mörderisches Stillwater;
28.01.2016;JobOSR, Maria;;Mörderisches Stillwater;
29.01.2016;Pino gassi;;Mörderisches Stillwater;
30.01.2016;Pino gassi, Handy repariert;;Mörderisches Stillwater;
31.01.2016;Pino gassi;;Mörderisches Stillwater;
1.02.2016;Pino gassi;;Mörderisches Stillwater;
2.02.2016;JobOSR;;Mörderisches Stillwater;
3.02.2016;JobOSR, Maria;;Mörderisches Stillwater;
4.02.2016;JobOSR;;Mörderisches Stillwater;
5.02.2016;Pino gassi;;Mörderisches Stillwater;
6.02.2016;Pino gassi, Bad Aibling Therme;;Mörderisches Stillwater;
7.02.2016;Pino gassi;;Nicht ihre Schuld;
8.02.2016;Pino gassi;;Nicht ihre Schuld;
9.02.2016;Pino gassi;;Nicht ihre Schuld, Lebkuchenmann;
10.02.2016;;;Lebkuchenmann;
11.02.2016;Angi Bernried;;Lebkuchenmann;
12.02.2016;Pino gassi;;Lebkuchenmann;
13.02.2016;Pino gassi;;Lebkuchenmann;
14.02.2016;Pino gassi;;Lebkuchenmann;
15.02.2016;Pino gassi;;Lebkuchenmann;
16.02.2016;Maria Stundenhotel;;Lebkuchenmann;
17.02.2016;Python, Maria;;Lebkuchenmann;
18.02.2016;Maria, Python;;Lebkuchenmann;
19.02.2016;Pino gassi, Python;;Lebkuchenmann;
20.02.2016;Pino gassi;;Lebkuchenmann;
21.02.2016;Pino gassi;;Lebkuchenmann;
22.02.2016;Pino gassi, Python;;Relic;
23.02.2016;Maria;;Relic;
24.02.2016;;;Relic;
25.02.2016;Maria;;Relic;
26.02.2016;Pino gassi;;Relic;
27.02.2016;Pino gassi;;Relic;
28.02.2016;Pino gassi;;Relic;
29.02.2016;Pino gasi;;Relic;
1.03.2016;Pino gassi, Pyhton;;Relic;
2.03.2016;Python;;Relic;
3.03.2016;Zahnarzt, Python;;Relic;
4.03.2016;Pino gassi, Python;;Relic;
